#omega(Hartree) S(1/Hartree) dS(1/Hartree)
1.224744143566794917e-02,7.912498812082308097e-03,1.312215947459956667e-04
2.449488287133589834e-02,8.018048981332698971e-03,1.329731775336820800e-04
3.674232430700384577e-02,8.124739056456237868e-03,1.347444571949558403e-04
4.898976574267179668e-02,8.232577119054687587e-03,1.365355980994717975e-04
6.123720717833974758e-02,8.341571244428533718e-03,1.383467649371643033e-04
7.348464861400769155e-02,8.451729500407371629e-03,1.401781226923346434e-04
8.573209004967564939e-02,8.563059946230159800e-03,1.420298366181031149e-04
9.797953148534359336e-02,8.675570631399164359e-03,1.439020722100190029e-04
1.102269729210115373e-01,8.789269594514984713e-03,1.457949951789244095e-04
1.224744143566794952e-01,8.904164862111395295e-03,1.477087714233565386e-04
1.347218557923474391e-01,9.020264447470978733e-03,1.496435670011998743e-04
1.469692972280153831e-01,9.137576349434824510e-03,1.515995481007602363e-04
1.592167386636833548e-01,9.256108551192909761e-03,1.535768810110962651e-04
1.714641800993512988e-01,9.375869019073664740e-03,1.555757320918342579e-04
1.837116215350192427e-01,9.496865701308166222e-03,1.575962677421037701e-04
1.959590629706871867e-01,9.619106526803769541e-03,1.596386543691618622e-04
2.082065044063551584e-01,9.742599403885734977e-03,1.617030583559763487e-04
2.204539458420230746e-01,9.867352219039685068e-03,1.637896460283624650e-04
2.327013872776910464e-01,9.993372835650302793e-03,1.658985836215281021e-04
2.449488287133589903e-01,1.012066909270712203e-02,1.680300372456279708e-04
2.571962701490269065e-01,1.024924880352598433e-02,1.701841728510028614e-04
2.694437115846948783e-01,1.037911975444627370e-02,1.723611561925448177e-04
2.816911530203628500e-01,1.051028970351848210e-02,1.745611527934078880e-04
2.939385944560307662e-01,1.064276637919121457e-02,1.767843279081504821e-04
3.061860358916987379e-01,1.077655747897726148e-02,1.790308464850119935e-04
3.184334773273667096e-01,1.091167066812154252e-02,1.813008731277257078e-04
3.306809187630346814e-01,1.104811357825371924e-02,1.835945720565137357e-04
3.429283601987025976e-01,1.118589380603517494e-02,1.859121070684503698e-04
3.551758016343705138e-01,1.132501891179547165e-02,1.882536414971638624e-04
3.674232430700384855e-01,1.146549641816264203e-02,1.906193381718039809e-04
3.796706845057064572e-01,1.160733380868547715e-02,1.930093593754322260e-04
3.919181259413743734e-01,1.175053852645011054e-02,1.954238668026869621e-04
4.041655673770423451e-01,1.189511797268324317e-02,1.978630215167460394e-04
4.164130088127103169e-01,1.204107950535575691e-02,2.003269839056603615e-04
4.286604502483782331e-01,1.218843043777596141e-02,2.028159136380641183e-04
